CustomerID,BirthDate,SSN,AccountID,AccountOpened,AccountType
51,1987-08-24,248-29-7641,4.0,2020-04-14,checking
52,1972-12-20,890-01-7958,17.0,2012-09-09,savings
53,1986-03-10,418-62-4821,69.0,2030-03-22,checking
54,1954-07-30,867-04-4267,63.0,2028-04-17,cd
55,1951-08-30,522-60-5138,94.0,1981-12-12,checking
56,2000-08-30,325-34-8743,24.0,2045-07-09,savings
57,1984-04-26,485-42-8444,3.0,2057-08-03,checking
58,2014-01-05,303-94-2465,69.0,2072-01-08,checking
59,2020-06-17,677-02-5449,40.0,2036-06-24,savings
60,1999-08-07,682-22-8546,36.0,2038-06-02,checking
61,2023-06-24,281-42-2684,58.0,2052-09-20,checking
62,1993-05-10,365-07-6814,49.0,2071-09-12,savings
63,1971-04-29,684-67-9909,55.0,2024-04-17,checking
64,2004-02-26,405-69-3659,24.0,2074-09-08,cd
65,1967-02-07,553-61-4582,33.0,1972-11-05,checking
66,2016-10-25,573-84-1508,18.0,2056-09-23,checking
67,2023-10-16,637-52-0287,97.0,2037-05-21,savings
68,2018-12-01,855-97-6157,78.0,2024-07-30,savings
69,1964-08-18,269-35-0066,7.0,1983-04-28,savings
70,1956-04-23,802-07-0012,53.0,1991-09-05,savings
71,1982-08-10,747-46-2830,46.0,2055-11-07,checking
72,1959-05-13,847-73-3341,33.0,1974-09-15,cd
73,1953-02-05,037-29-7778,81.0,2015-10-11,cd
74,1989-02-06,977-94-8321,29.0,2023-01-12,cd
75,2000-05-05,425-36-6284,12.0,2021-11-25,savings
76,1977-12-18,143-04-2281,46.0,2045-11-12,checking
77,2015-10-15,244-75-3232,32.0,2082-01-20,checking
78,1987-07-10,897-57-3954,34.0,1992-06-20,checking
79,1999-07-14,514-41-4024,87.0,2053-02-14,cd
80,1976-10-05,452-55-5763,25.0,2017-07-03,cd
81,1972-06-06,832-70-2589,46.0,2045-09-26,savings
82,1970-08-12,458-30-2602,52.0,1975-11-26,cd
83,1951-11-23,608-91-6080,64.0,1962-10-09,cd
84,1987-12-15,070-13-0394,76.0,2065-10-03,cd
85,2001-10-31,136-79-1195,73.0,2002-07-24,cd
86,1957-05-07,795-56-6776,18.0,1988-03-15,checking
87,2018-03-24,409-55-8136,4.0,2032-12-17,cd
88,1992-04-26,649-65-4593,7.0,2016-06-05,cd
89,1969-02-25,155-79-7952,3.0,2047-05-29,cd
90,2013-08-24,770-05-0757,48.0,2048-03-12,cd
91,1966-11-29,774-25-4424,76.0,2037-12-07,cd
92,1968-01-25,427-84-2850,37.0,2044-10-22,cd
93,1966-05-22,468-91-4127,48.0,2017-11-12,savings
94,1962-05-22,838-81-3699,82.0,2025-12-15,savings
95,1952-04-07,422-95-9804,51.0,2028-09-01,checking
96,1977-06-29,513-19-9342,49.0,1998-01-10,savings
97,2013-07-27,395-25-5461,71.0,2026-08-13,checking
98,1978-07-06,876-87-0827,90.0,2038-10-24,savings
,,,,,
